Occupancy,Flood,Age
1.200,0.000,0.341
1.200,0.000,0.311
1.200,0.000,0.314
1.200,0.000,0.317
1.200,0.000,0.320
1.200,0.000,0.296
1.200,0.000,0.299
1.200,0.000,0.302
1.200,0.000,0.308
1.200,0.000,0.310
1.200,0.000,0.313
1.200,0.000,0.319
1.200,0.000,0.321
1.200,0.000,0.319
1.200,0.000,0.311
1.200,0.000,0.313
1.200,0.000,0.319
1.200,0.000,0.322
1.200,0.000,0.325
1.200,0.000,0.328
1.200,0.000,0.334
1.200,0.000,0.336
1.200,0.000,0.339
1.200,0.000,0.346
1.200,0.000,0.348
1.200,0.000,0.354
1.200,0.000,0.319
1.200,0.000,0.292
1.200,0.000,0.295
1.200,0.000,0.301
1.200,0.000,0.303
1.200,0.000,0.306
1.200,0.000,0.312
1.200,0.000,0.315
1.200,0.000,0.278
1.200,0.000,0.284
1.200,0.000,0.287
1.200,0.000,0.292
1.200,0.000,0.244
1.200,0.000,0.247
1.200,0.000,0.253
1.200,0.000,0.256
1.200,0.000,0.259
1.200,0.000,0.262
1.200,0.000,0.268
1.200,0.000,0.271
1.200,0.000,0.274
1.200,0.000,0.279
1.200,0.000,0.282
1.200,0.000,0.283
1.200,0.000,0.260
1.200,0.000,0.263
1.200,0.000,0.266
1.200,0.000,0.272
1.200,0.000,0.274
1.200,0.000,0.277
1.200,0.000,0.283
1.200,0.000,0.269
1.200,0.000,0.271
1.200,0.000,0.277
1.200,0.000,0.279
1.200,0.000,0.282
1.200,0.000,0.284
1.200,0.000,0.198
1.200,0.000,0.201
1.200,0.000,0.203
1.200,0.000,0.209
1.200,0.000,0.211
1.200,0.000,0.214
1.200,0.000,0.216
1.200,0.000,0.222
1.200,0.000,0.224
1.200,0.000,0.227
1.200,0.000,0.233
1.200,0.000,0.235
1.200,0.000,0.179
1.200,0.000,0.181
1.200,0.000,0.187
1.200,0.000,0.192
1.200,0.000,0.195
1.200,0.000,0.198
1.200,0.000,0.203
1.200,0.000,0.205
1.200,0.000,0.208
1.200,0.000,0.211
