"[0.7, 1.0, 0.2257]"
"[0.7, 0.0, 0.231]"
"[0.65, 1.0, 0.3082]"
"[0.7, 0.071, 0.2802]"
"[0.7, 0.0, 0.2843]"
"[0.7, 0.0, 0.294]"
"[0.7, 0.0, 0.2993]"
"[0.7, 0.0, 0.3057]"
"[0.7, 0.0, 0.3121]"
"[0.7, 0.0, 0.3155]"
"[0.7, 0.0, 0.3207]"
"[0.7, 0.0, 0.3255]"
"[0.7, 0.0, 0.3333]"
"[0.7, 0.0, 0.3412]"
"[0.7, 0.0, 0.349]"
"[0.7, 0.0, 0.3602]"
"[0.7, 0.0, 0.3681]"
"[0.7, 0.0, 0.376]"
"[0.7, 0.0, 0.3831]"
"[0.75, 0.067, 0.3427]"
"[0.75, 0.0, 0.3507]"
"[0.7, 0.0, 0.31]"
"[0.2, 1.0, 0.0283]"
"[0.2, 0.0, 0.0417]"
"[0.2, 0.0, 0.0483]"
"[0.2, 0.0, 0.0617]"
"[0.2, 0.0, 0.0683]"
"[0.2, 0.0, 0.0817]"
"[0.3, 0.333, 0.0506]"
"[0.3, 0.0, 0.0539]"
"[0.3, 0.0, 0.0639]"
"[0.45, 0.333, 0.0548]"
"[0.45, 0.0, 0.0615]"
"[0.45, 0.0, 0.0667]"
"[0.45, 0.0, 0.0563]"
"[0.5, 0.1, 0.063]"
"[0.5, 0.0, 0.0697]"
"[0.6, 0.167, 0.0658]"
"[0.65, 0.077, 0.0674]"
"[0.85, 0.235, 0.0563]"
"[1.0, 1.0, 0.1747]"
"[1.0, 0.0, 0.1869]"
"[1.0, 0.0, 0.1964]"
"[1.0, 0.0, 0.2053]"
"[1.0, 0.0, 0.2144]"
"[1.0, 0.0, 0.2269]"
"[1.0, 0.0, 0.2328]"
"[1.0, 0.0, 0.245]"
"[1.0, 0.0, 0.2575]"
"[1.0, 0.0, 0.2633]"
"[1.0, 0.0, 0.2756]"
"[1.0, 0.0, 0.2878]"
"[1.0, 0.0, 0.2972]"
"[1.0, 0.0, 0.3061]"
"[1.0, 0.0, 0.3153]"
"[1.0, 0.0, 0.3244]"
"[1.0, 0.0, 0.3221]"
"[1.0, 0.0, 0.3312]"
"[1.0, 0.0, 0.3421]"
"[1.0, 0.0, 0.3513]"
"[1.0, 0.0, 0.3604]"
"[1.0, 0.0, 0.2676]"
"[1.0, 0.0, 0.2757]"
"[1.0, 0.0, 0.2851]"
"[1.0, 0.0, 0.2889]"
"[1.0, 0.0, 0.2803]"
"[1.0, 0.0, 0.2876]"
"[1.0, 0.0, 0.2971]"
"[1.0, 0.0, 0.3008]"
"[1.0, 0.0, 0.3079]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 0.0, 0.3179]"
"[1.0, 1.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[1.0, 0.0, 0.5203]"
"[0.75, 1.0, 0.0429]"
"[0.95, 0.211, 0.0305]"
"[1.0, 0.05, 0.0395]"
"[1.0, 0.048, 0.0432]"
"[1.0, 0.087, 0.0371]"
