State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
50,0,6,2,0.00-0.12,0.75-0.88,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
51,0,6,3,0.00-0.12,0.75-0.88,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
52,0,6,4,0.00-0.12,0.75-0.88,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
53,0,6,5,0.00-0.12,0.75-0.88,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
54,0,6,6,0.00-0.12,0.75-0.88,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
55,0,6,7,0.00-0.12,0.75-0.88,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
56,0,7,0,0.00-0.12,0.88-1.00,0.00-0.12,0.0,0.0,-0.0188,0.0,EVICT
57,0,7,1,0.00-0.12,0.88-1.00,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
58,0,7,2,0.00-0.12,0.88-1.00,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
59,0,7,3,0.00-0.12,0.88-1.00,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
60,0,7,4,0.00-0.12,0.88-1.00,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
61,0,7,5,0.00-0.12,0.88-1.00,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
62,0,7,6,0.00-0.12,0.88-1.00,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
63,0,7,7,0.00-0.12,0.88-1.00,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
64,1,0,0,0.12-0.25,0.00-0.12,0.00-0.12,-2.7349,-3.0085,-2.8479,-2.5203,REBALANCE
65,1,0,1,0.12-0.25,0.00-0.12,0.12-0.25,-1.5197,-2.0475,-1.5685,-1.2436,REBALANCE
66,1,0,2,0.12-0.25,0.00-0.12,0.25-0.38,-0.5417,-0.7845,-0.7455,-1.0985,EVICT
67,1,0,3,0.12-0.25,0.00-0.12,0.38-0.50,-0.8276,-1.0045,-0.4001,-0.3583,REBALANCE
68,1,0,4,0.12-0.25,0.00-0.12,0.50-0.62,-1.0552,-0.2355,-0.3693,-0.0887,REBALANCE
69,1,0,5,0.12-0.25,0.00-0.12,0.62-0.75,0.0264,0.6555,-0.0044,0.0314,INC_AGE
70,1,0,6,0.12-0.25,0.00-0.12,0.75-0.88,-0.0083,0.0269,-0.0014,0.0,INC_AGE
